probabilities,sample_ids,labels
0.9636780949931788,EE87786,1
0.985820367149951,EE87787,1
0.6898287261591917,EE87788,1
0.9667625352299345,EE87789,1
0.978742172400932,EE87790,1
0.9887826177361039,EE87791,1
0.9952047168333727,EE87792,1
0.9937823551018048,EE87793,1
0.9569462206550308,EE87794,1
0.9852159257749405,EE87795,1
0.9479171686263108,EE87796,1
0.8884935881890668,EE87797,1
0.997384775015251,EE87798,1
0.9999897852693593,EE87799,1
0.9706212674735111,EE87800,1
0.9999878858142779,EE87801,1
0.3078717533531903,EE87802,1
0.9408465232140799,EE87803,1
0.9786166105437778,EE87804,1
0.9958996253255585,EE87805,1
0.9999977805078065,EE87806,1
0.6742275290942124,EE87807,1
0.9895058401841753,EE87809,1
0.9675627796820152,EE87810,1
0.9588788537700299,EE87811,1
0.5983910695480192,EE87812,1
0.941296350523164,EE87813,1
0.6661963405527551,EE87814,1
0.7431564764688771,EE87815,1
0.8732430183470363,EE87816,1
0.9886588185656392,EE87817,1
0.9050228665301888,EE87818,1
0.9999979831411772,EE87819,1
0.9469292924172535,EE87820,1
0.9967692438940495,EE87821,1
0.819343314172822,EE87822,1
0.9909819994009992,EE87823,1
0.6223451534018366,EE87824,1
0.9999917060689454,EE87825,1
0.7822002857162872,EE87826,1
0.7607288661239825,EE87827,1
0.6943874658739935,EE87828,1
0.9265808245724368,EE87829,1
0.6445180668455635,EE87830,1
0.3735373203986927,EE87831,1
0.9883269556768904,EE87832,1
0.9999909467979492,EE87833,1
0.9551548309741179,EE87834,1
0.9966869534288354,EE87835,1
0.999984661971236,EE87836,1
0.9999931732817222,EE87837,1
0.7004467274638954,EE87838,1
0.9680301730342573,EE87839,1
0.9429123679539968,EE87840,1
0.9096530387322658,EE87841,1
0.9851777417764606,EE87842,1
0.8740470605412384,EE87843,1
0.3839827447903191,EE87844,1
0.7372115391682089,EE87845,1
0.9591255697418678,EE87846,1
0.9967980744154636,EE87847,1
0.9925419008575225,EE87848,1
0.9813481457048184,EE87849,1
0.6621839996675846,EE87850,1
0.47958122075221693,EE87851,1
0.5,EE87852,1
0.5494091701645321,EE87853,1
0.6589853513293178,EE87854,1
0.9999927938502262,EE87855,1
0.999985634992254,EE87857,1
0.9963742847626116,EE87858,1
0.9953552706916451,EE87859,1
0.9939636904708695,EE87860,1
0.9965624191227235,EE87861,1
0.9971092442190753,EE87862,1
0.9999957438116989,EE87863,1
0.9901979581297006,EE87864,1
0.9563975128201263,EE87865,1
0.963983476817382,EE87866,1
0.8444363952754521,EE87867,1
0.9547623314845317,EE87868,1
0.9967115330545662,EE87869,1
0.9924949910360611,EE87870,1
0.8983028093294354,EE87871,1
0.6447215768125071,EE87872,1
0.9999842652413162,EE87873,1
0.9952551703519008,EE87874,1
0.9261460350488772,EE87875,1
0.9373046137157255,EE87876,1
0.9439792117372029,EE87877,1
0.9931086167814439,EE87878,1
0.914419681653751,EE87879,1
0.9588263152729494,EE87880,1
0.9951528019742176,EE87881,1
0.9939670159548348,EE87882,1
0.9783933916972194,EE87883,1
0.9999990774424862,EE87884,1
0.980772152753613,EE87885,1
0.9662055744834812,EE87886,1
0.9999981433340107,EE87887,1
0.9629578908809887,EE87888,1
0.9943084575179261,EE87889,1
0.999998163787602,EE87890,1
0.9973316329021168,EE87891,1
0.9686499685243863,EE87892,1
0.9700901863635688,EE87893,1
0.552585228501846,EE87894,1
0.8582160400891246,EE87895,1
0.9956331003390557,EE87896,1
0.8426475768363794,EE87897,1
0.9967111376450343,EE87898,1
0.9952364693949539,EE87899,1
0.8532881829569939,EE87900,1
0.7231790900914209,EE87901,1
0.9942535481426649,EE87902,1
0.994930569403079,EE87903,1
0.9942641489969336,EE87905,1
0.9940145764986695,EE87906,1
0.985973479310803,EE87907,1
0.999998936782771,EE87909,1
0.8653865837231731,EE87910,1
0.9966171607746561,EE87911,1
0.9969535157821335,EE87912,1
0.9924247550048056,EE87913,1
0.8012850994343197,EE87915,1
0.9951386452201058,EE87916,1
0.991907072073122,EE87917,1
0.5728503078960294,EE87918,1
0.9999997680084017,EE87919,1
0.9305184499792937,EE87920,0
0.9539341177011359,EE87921,0
0.46478959867054015,EE87922,0
0.3387057886784732,EE87923,0
0.6908508064074661,EE87924,0
0.38822339300455105,EE87925,0
0.44083677599517807,EE87926,0
0.7672878743168033,EE87927,0
0.6274395631745678,EE87928,0
0.3283545124305345,EE87929,0
0.6076986463162493,EE87931,0
0.9334884821497905,EE87932,0
0.22565790568144178,EE87933,0
0.4225738449042008,EE87934,0
0.8897151502957986,EE87935,0
0.20913403730275001,EE87936,0
